Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
ATL,RNO,Atlanta GA,Reno NV,187,420,3,1993,5/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,1258,3256,22,1993,5/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3010,3500,25,1671,6/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,5184,6956,47,1671,6/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3270,3510,30,1671,6/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4925,7548,51,1671,5/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3637,5180,37,1671,5/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,107,108,1,1671,12/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,85,126,1,1671,12/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,284,288,2,1671,12/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,7925,11900,85,1671,12/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,557,585,5,1671,12/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
MDW,RNO,Chicago IL,Reno NV,144,218,1,1680,5/1/1998,17529224,315959,41.7859993,-87.75240326,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3931,4900,35,1671,3/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,5883,7844,53,1671,3/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4905,7252,49,1671,4/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3731,5180,37,1671,4/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,85,182,1,1993,8/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,7813,10360,70,1671,2/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,1426,3108,21,1993,4/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,263,468,4,1993,4/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,352,700,5,1993,4/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3686,6020,43,1671,1/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,168,234,2,1671,1/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3307,6216,42,1671,1/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,752,1043,7,1993,7/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,979,1540,11,1903,4/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,66,140,1,1903,5/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1304,2240,16,1903,3/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,194,351,3,1903,5/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,3775,4350,29,1903,12/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,611,1260,9,1903,1/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1125,1989,17,1903,2/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5686,7461,51,1903,5/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5128,7785,57,1903,1/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,404,840,6,1903,2/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5404,6556,44,1903,6/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1112,1989,17,1903,1/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,4202,6999,55,1903,11/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5536,8836,61,1903,10/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5000,6504,48,1903,2/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,5888,7602,58,1903,3/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1353,2831,19,1903,9/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,7631,8940,60,1903,7/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1124,1638,14,1903,3/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,6343,7581,53,1903,4/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,2164,3183,31,1903,12/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,1682,2223,19,1903,4/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
DTW,RNO,Detroit MI,Reno NV,6856,7897,53,1903,8/1/1998,8944948,315959,42.21239853,-83.35340118,39.49909973,-119.7679977
IAH,RNO,Houston TX,Reno NV,253,282,2,1530,12/1/1998,4445918,315959,29.9843998,-95.34140015,39.49909973,-119.7679977
IAH,RNO,Houston TX,Reno NV,1375,1916,15,1530,12/1/1998,4445918,315959,29.9843998,-95.34140015,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,75,117,1,415,1/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,22291,27948,204,345,7/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SNA,RNO,Santa Ana CA,Reno NV,96,117,1,415,9/1/1998,11947589,315959,33.67570114,-117.8679962,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,103,122,1,488,12/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,3356,5031,43,488,5/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
STL,RNO,St. Louis MO,Reno NV,3995,8136,58,1574,11/1/1998,2655631,315959,38.74869919,-90.37000275,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,77,113,1,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
LAS,RNO,Las Vegas NV,Reno NV,6222,8174,67,345,5/1/1998,1161259,315959,36.08010101,-115.1520004,39.49909973,-119.7679977
SAN,RNO,San Diego CA,Reno NV,545,819,7,488,12/1/1998,2766123,315959,32.73360062,-117.1900024,39.49909973,-119.7679977
